, options [nop,nop,TS val 4231069619 ecr 3863754939], length 0
16:29:11.045091 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1121904, win 168, options [nop,nop,TS val 4231069620 ecr 3863754939], length 0
16:29:11.045335 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1123440, win 156, options [nop,nop,TS val 4231069620 ecr 3863754939], length 0
16:29:11.045682 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1124976, win 144, options [nop,nop,TS val 4231069620 ecr 3863754940], length 0
16:29:11.046033 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1126512, win 132, options [nop,nop,TS val 4231069620 ecr 3863754940], length 0
16:29:11.046465 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1128560, win 116, options [nop,nop,TS val 4231069621 ecr 3863754940], length 0
16:29:11.046550 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1130096, win 104, options [nop,nop,TS val 4231069621 ecr 3863754940], length 0
16:29:11.046773 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1131632, win 92, options [nop,nop,TS val 4231069621 ecr 3863754941], length 0
16:29:11.046996 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1133168, win 80, options [nop,nop,TS val 4231069621 ecr 3863754941], length 0
16:29:11.047079 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1134704, win 68, options [nop,nop,TS val 4231069622 ecr 3863754941], length 0
16:29:11.047199 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1136240, win 56, options [nop,nop,TS val 4231069622 ecr 3863754941], length 0
16:29:11.047486 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1137776, win 44, options [nop,nop,TS val 4231069622 ecr 3863754942], length 0
16:29:11.047823 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1139312, win 32, options [nop,nop,TS val 4231069622 ecr 3863754942], length 0
16:29:11.054216 IP 198.211.111.194.42565 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh: Flags [.], ack 1143168, win 2, options [nop,nop,TS val 4231069629 ecr 3863754942], length 0
16:29:11.129940 IP 92.63.197.21.58687 > lamp-ubuntu-s-4vcpu-8gb-tor1-01.59917: Flags [S], seq 2136930870, win 1024, length 0
16:29:11.130529 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421 > 67.207.67.3.domain: 13494+ [1au] PTR? 21.197.63.92.in-addr.arpa. (54)
16:29:11.130580 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350 > 67.207.67.3.domain: 38058+ [1au] PTR? 21.197.63.92.in-addr.arpa. (54)
16:29:11.130624 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788 > 67.207.67.3.domain: 240+ [1au] PTR? 21.197.63.92.in-addr.arpa. (54)
16:29:11.133924 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421: 13494 NXDomain 0/1/1 (114)
16:29:11.134110 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421 > 67.207.67.3.domain: 13494+ PTR? 21.197.63.92.in-addr.arpa. (43)
16:29:11.134265 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350: 38058 NXDomain 0/1/1 (114)
16:29:11.134307 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350 > 67.207.67.3.domain: 38058+ PTR? 21.197.63.92.in-addr.arpa. (43)
16:29:11.134396 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788: 240 NXDomain 0/1/1 (114)
16:29:11.134429 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788 > 67.207.67.3.domain: 240+ PTR? 21.197.63.92.in-addr.arpa. (43)
16:29:11.137019 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.45350: 38058 NXDomain 0/1/0 (103)
16:29:11.137487 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.49788: 240 NXDomain 0/1/0 (103)
16:29:11.137796 IP 67.207.67.3.domain > lamp-ubuntu-s-4vcpu-8gb-tor1-01.42421: 13494 NXDomain 0/1/0 (103)
16:29:11.273544 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1143168:1143424, ack 1, win 501, options [nop,nop,TS val 3863755180 ecr 4231069629], length 256
16:29:11.366140 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1173056:1173312, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366173 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1173312:1173568, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366207 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1173568:1173824, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366240 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1173824:1174080, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366272 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1174080:1174336, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366304 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1174336:1174592, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366337 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1174592:1174848, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366371 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1174848:1175104, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366403 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1175104:1175360, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366436 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1175360:1175616, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366501 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1175616:1175872, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366547 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1175872:1176128, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366625 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1176128:1176384, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366682 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1176384:1176640, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366714 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1176640:1176896, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366746 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1176896:1177152, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366779 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1177152:1177408, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366811 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1177408:1177664, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366845 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1177664:1177920, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366877 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1177920:1178176, ack 1, win 501, options [nop,nop,TS val 3863755273 ecr 4231069937], length 256
16:29:11.366910 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1178176:1178432, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.366942 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1178432:1178688, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.366974 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1178688:1178944, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367007 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1178944:1179200, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367039 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1179200:1179456, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367072 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1179456:1179712, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367104 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1179712:1179968, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367146 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1179968:1180224, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367179 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1180224:1180480, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367212 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1180480:1180736, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367244 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1180736:1180992, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367277 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1180992:1181248, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367309 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1181248:1181504, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367342 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1181504:1181760, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367375 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1181760:1182016, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367412 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1182016:1182272, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367445 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1182272:1182528, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367478 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1182528:1182784, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367511 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1182784:1183040, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367544 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1183040:1183296, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367576 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1183296:1183552, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367608 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1183552:1183808, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367640 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1183808:1184064, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367673 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1184064:1184320, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367704 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1184320:1184576, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367738 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1184576:1184832, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367771 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1184832:1185088, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367804 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1185088:1185344, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367844 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1185344:1185600, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367880 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1185600:1185856, ack 1, win 501, options [nop,nop,TS val 3863755274 ecr 4231069937], length 256
16:29:11.367913 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1185856:1186112, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.367946 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1186112:1186368, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.367978 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1186368:1186624, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368011 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1186624:1186880, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368044 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1186880:1187136, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368077 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1187136:1187392, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368109 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1187392:1187648, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368145 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1187648:1187904, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368178 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1187904:1188160, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368213 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1188160:1188416, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368246 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1188416:1188672, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368279 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1188672:1188928, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368313 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1188928:1189184, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368345 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1189184:1189440, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368379 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1189440:1189696, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368412 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1189696:1189952, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368446 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1189952:1190208, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368480 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1190208:1190464, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368513 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1190464:1190720, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368546 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1190720:1190976, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368611 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1190976:1191232, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368646 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1191232:1191488, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368681 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1191488:1191744, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368713 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1191744:1192000, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368751 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1192000:1192256, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368784 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1192256:1192512, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368817 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1192512:1192768, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368850 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1192768:1193024, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368883 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1193024:1193280, ack 1, win 501, options [nop,nop,TS val 3863755275 ecr 4231069937], length 256
16:29:11.368916 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1193280:1193536, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.368947 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1193536:1193792, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.368980 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1193792:1194048, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369014 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1194048:1194304, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369046 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1194304:1194560, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369079 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1194560:1194816, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369112 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1194816:1195072, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369145 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1195072:1195328, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369178 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1195328:1195584, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369211 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1195584:1195840, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369243 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1195840:1196096, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369275 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1196096:1196352, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369307 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1196352:1196608, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369348 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1196608:1196864, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369386 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1196864:1197120, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369418 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1197120:1197376, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369450 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1197376:1197632, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369497 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1197632:1197888, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369517 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1197888:1197952, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 64
16:29:11.369559 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1197952:1198208, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369576 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1198208:1198464, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
16:29:11.369609 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1198464:1198912, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 448
16:29:11.369641 IP lamp-ubuntu-s-4vcpu-8gb-tor1-01.ssh > 198.211.111.194.42565: Flags [P.], seq 1198912:1199168, ack 1, win 501, options [nop,nop,TS val 3863755276 ecr 4231069937], length 256
